id;user_id;content;media_url;is_private;created_at;updated_at
1;50;"Carmaker shares jump after Donald Trump signals "help" for industry - Financial Times - President acknowledges companies "need a little bit of time" before they can manufacture in US";"https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fc36b69e2-d66c-4ba5-8553-528e3d918e8e.jpg?source=next-barrier-page";false;2025-04-16 15:30:21;2025-04-16 15:30:21
2;39;"Xi Jinping urges Vietnam to oppose Donald Trump's tariff "bullying" - Financial Times - US president says countries are trying to "screw" America as China looks to shore up ties with trade partners";"https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb92ca40a-9a11-4a81-8a92-1ddddb407fc3.jpg?source=next-barrier-page";true;2025-04-16 15:30:21;2025-04-16 15:30:21
3;34;"WNBA Draft winners and losers: Wings hit big with Paige Bueckers; Sedona Prince surprisingly goes undrafted - CBS Sports - The Wings were able to land a franchise-changing talent in Bueckers with the No. 1 pick";"https://sportshub.cbsistatic.com/i/r/2025/04/15/87c62314-edc7-438c-9b32-71a982251f5b/thumbnail/1200x675/768a301934fe95ab33d5b44046a1bb36/paige-draft.png";true;2025-04-16 15:30:21;2025-04-16 15:30:21
4;20;"Tehran says next round of Iran-US nuclear talks in Oman after Rome named by officials - AP News - Talks between Iran and the United States over Tehran's rapidly advancing nuclear program had appeared ready to leave the Middle East, as an Italian source and others said the next round of negotiations would take place in Rome. However, Iran early Tuesday insisted...";"https://dims.apnews.com/dims4/default/10e612c/2147483647/strip/true/crop/3000x1688+0+156/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F2f%2F6c%2F6b0926d74b7f3b46c797a3c00f77%2F2c0db1dcce4d4e049345e370ba1c2e53";false;2025-04-16 15:30:21;2025-04-16 15:30:21
5;42;"Bukele rejects returning Maryland man Trump officials mistakenly deported - The Washington Post - El Salvador's president says it would be "preposterous" to return Kilmar Abrego García. Trump also floated deporting criminal U.S. citizens to El Salvador.";"https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/4AMIYSEBPFYQ75KT7S47FPY4KE_size-normalized.JPG&w=1440";false;2025-04-16 15:30:21;2025-04-16 15:30:21
6;34;"Stock Market Today: Dow Futures Slip; Trump Hints at Tariff Relief for Automakers — Live Updates - WSJ - No Content";null;false;2025-04-16 15:30:21;2025-04-16 15:30:21
7;35;"Column | Inside the Blue Origin flight: Tears and a Katy Perry performance - The Washington Post - The all-women Blue Origin rocket launch, including passengers Gayle King and Katy Perry, briefly entered space on Monday. What does that mean for the rest of us?";"https://www.washingtonpost.com/wp-apps/imrs.php?src=https://arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/4QIIDVOI4V4EIJQMDRPHJNHOI4.JPG&w=1440";true;2025-04-16 15:30:21;2025-04-16 15:30:21
8;2;"Elephants at San Diego safari park huddle to protect calves during earthquake - AP News - At the San Diego Zoo Safari Park, a herd of African elephants was caught on video running over to protect their young by encircling them during a 5.2 magnitude earthquake. The elephants run as the video from the Southern California park starts to shake and the ground trembles...";"https://dims.apnews.com/dims4/default/56fe6b5/2147483647/strip/true/crop/2154x1212+0+112/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F78%2F39%2F9fe62c3bdc0108cac19c989727d9%2F6fcff387fc1e4490bfb502850cdd17fd";true;2025-04-16 15:30:21;2025-04-16 15:30:21
9;9;"Gene Hackman, Betsy Arakawa's property was "breeding ground for infestation" with dead rodents, feces all over - Page Six - The legendary actor's wife died from hantavirus pulmonary syndrome, which is linked to rodents. They were both found dead in their New Mexico home in February.";"https://pagesix.com/wp-content/uploads/sites/3/2025/04/102752681.jpg?quality=75&strip=all&w=1024";false;2025-04-16 15:30:21;2025-04-16 15:30:21
10;19;"FAA emergency order grounds NYC helicopter tour company involved in deadly crash - AP News - Federal aviation regulators issued an emergency order Monday grounding the helicopter tour company involved in a deadly New York crash after learning it had fired its operations director minutes after he had agreed to suspend flights during the investigation.";"https://dims.apnews.com/dims4/default/a3cb5e7/2147483647/strip/true/crop/4276x2405+0+225/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2Fa3%2F18%2Fd3737b5a5fba5232d7015e545b6b%2Fd247e27b364d4931a0b70c330c58f3ca";1;2025-04-16 15:30:21;2025-04-16 15:30:21
11;9;"Federal judge stops Trump administration from deporting a half-million Cubans, Haitians, Nicaraguans and Venezuelans - Miami Herald - A federal judge stopped the Trump administration from rescinding deportation protections and work permits for more than a half-million paroled Cubans, Haitians, Nicaraguans and Venezuelans.";"https://www.elnuevoherald.com/ultimas-noticias/sel7d3/picture277895248/alternates/LANDSCAPE_1140/IMG-20230406-WA0062.jpg";1;2025-04-16 15:30:21;2025-04-16 15:30:21
12;7;"US begins probes into pharmaceutical and chip imports, setting stage for tariffs - CNN - The Trump administration is kicking off investigations into imports of pharmaceuticals and semiconductors as part of a bid to impose tariffs on both sectors on national security grounds, notices posted to the Federal Register on Monday showed.";"https://media.cnn.com/api/v1/images/stellar/prod/2025-02-15t045902z-1569210894-rc2vcz9qv2nu-rtrmadp-3-usa-trump-taiwan.jpg?c=16x9&q=w_800,c_fill";false;2025-04-16 15:30:21;2025-04-16 15:30:21
